Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2015-07-04;18:01:29;41.94;25.83;15;f;ML;2.6;BULGARIA;2015-07-05 08:37;449378;
2015-07-01;15:36:14;41.98;26.84;19; ;ML;2.0;BULGARIA;2015-07-01 17:34;449006;
2015-06-13;17:17:34;41.65;24.99;5;f;ML;2.5;BULGARIA;2015-06-13 21:00;446576;
2015-06-07;01:37:46;42.13;25.20;2; ;ML;3.0;BULGARIA;2015-06-07 08:15;445507;
2015-05-15;20:36:47;41.95;23.05;1; ;ML;2.1;BULGARIA;2015-05-16 06:03;442314;
2015-05-13;08:11:00;42.36;27.75;5; ;ML;2.4;BULGARIA;2015-05-13 09:32;441779;
2015-05-09;18:52:51;42.19;23.18;5;f;ML;2.6;BULGARIA;2015-05-09 22:24;441078;
2015-05-05;20:34:09;41.99;24.12;2; ;ML;2.9;BULGARIA;2015-05-07 06:13;440338;
2015-05-05;02:11:34;42.67;22.63;667; ;ML;3.1;BULGARIA;2015-05-05 02:17;440199;
2015-04-10;23:39:08;43.08;27.90;16; ;ML;2.7;BULGARIA;2015-04-11 06:14;436063;
2015-04-02;02:27:08;42.17;26.24;2; ;ML;3.6;BULGARIA;2015-04-02 07:06;434771;
2015-04-02;02:24:10;42.12;26.25;2; ;ML;3.3;BULGARIA;2015-04-02 07:07;434770;
2015-03-31;18:33:26;41.91;24.35;15; ;ML;2.7;BULGARIA;2015-04-01 07:04;434588;
2015-03-27;09:54:37;42.55;23.08;0; ;ML;2.0;BULGARIA;2015-03-27 11:24;433979;
2015-03-24;20:37:52;41.94;23.17;10;f;ML;3.0;BULGARIA;2015-03-25 07:31;433549;
2015-03-24;03:07:37;42.07;24.85;2; ;ML;2.8;BULGARIA;2015-03-24 08:05;433418;
2015-03-19;16:56:30;42.24;23.44;2; ;ML;2.8;BULGARIA;2015-03-20 07:28;432736;
2015-02-23;03:57:10;42.10;23.54;9; ;ML;2.3;BULGARIA;2015-02-23 06:19;428759;
2015-02-21;04:44:31;41.35;25.21;2; ;ML;2.1;BULGARIA;2015-02-21 18:18;428445;
2015-02-12;06:21:54;41.62;23.91;2; ;ML;2.9;BULGARIA;2015-02-12 07:57;426952;
2015-02-05;06:16:45;42.69;26.11;4;f;ML;4.4;BULGARIA;2015-02-05 07:05;425889;
2015-02-04;19:18:10;42.48;26.98;5; ;ML;2.4;BULGARIA;2015-02-04 19:29;425815;
2015-01-24;06:43:51;42.02;26.44;5; ;ML;2.5;BULGARIA;2015-01-24 06:49;423987;
2015-01-20;17:21:48;42.52;26.38;8; ;ML;2.8;BULGARIA;2015-01-21 07:24;423379;
2015-01-20;14:01:29;42.16;22.98;8; ;ML;2.0;BULGARIA;2015-01-21 09:41;423478;
2015-01-19;06:14:15;41.95;23.01;1; ;ML;2.1;BULGARIA;2015-01-19 11:51;423212;
2015-01-10;22:37:04;41.69;23.85;2; ;ML;2.5;BULGARIA;2015-01-11 04:27;421953;
2015-01-02;15:20:51;42.65;23.17;2; ;ML;2.6;BULGARIA;2015-01-03 11:14;415949;
